,treatment_cultivar,cultivar,variable,value_simulated,value_measured,experiment,position,calibration_code,plantgro_variables,overview_variables,calibration_method,short_label,long_label,treatment
125,WW23_G-5,ENTRY 5,Product unit weight (g dm),0.055,0.049,CIOB2301 WH ROOTS ANATOMY,6,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
126,WW23_G-5,ENTRY 5,Product number (no/m2),14029.0,14222.0,CIOB2301 WH ROOTS ANATOMY,7,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
128,WW23_G-5,ENTRY 5,Product harvest index (ratio),0.61,0.34,CIOB2301 WH ROOTS ANATOMY,9,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
129,WW23_G-5,ENTRY 5,Maximum leaf area index,5.2,5.3,CIOB2301 WH ROOTS ANATOMY,10,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
132,WW23_G-5,ENTRY 5,Canopy (tops) wt (kg dm/ha),12657.0,20705.0,CIOB2301 WH ROOTS ANATOMY,13,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
133,WW23_G-5,ENTRY 5,Vegetative wt (kg dm/ha),4988.0,13685.0,CIOB2301 WH ROOTS ANATOMY,14,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
143,WW23_G-5,ENTRY 5,Product N (kg/ha),231.3,148.5,CIOB2301 WH ROOTS ANATOMY,24,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
145,WW23_G-5,ENTRY 5,Product N (%),3.0,2.1,CIOB2301 WH ROOTS ANATOMY,26,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
151,WW23_G-6,ENTRY 6,Emergence (DAP),3.0,7.0,CIOB2301 WH ROOTS ANATOMY,2,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
152,WW23_G-6,ENTRY 6,Anthesis (DAP),76.0,100.0,CIOB2301 WH ROOTS ANATOMY,3,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
153,WW23_G-6,ENTRY 6,Maturity (DAP),106.0,143.0,CIOB2301 WH ROOTS ANATOMY,4,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
154,WW23_G-6,ENTRY 6,Product wt (kg dm/ha;no loss),5955.0,6947.0,CIOB2301 WH ROOTS ANATOMY,5,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
155,WW23_G-6,ENTRY 6,Product unit weight (g dm),0.034,0.042,CIOB2301 WH ROOTS ANATOMY,6,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
156,WW23_G-6,ENTRY 6,Product number (no/m2),17707.0,16489.0,CIOB2301 WH ROOTS ANATOMY,7,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
158,WW23_G-6,ENTRY 6,Product harvest index (ratio),0.58,0.39,CIOB2301 WH ROOTS ANATOMY,9,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
159,WW23_G-6,ENTRY 6,Maximum leaf area index,4.0,5.7,CIOB2301 WH ROOTS ANATOMY,10,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
162,WW23_G-6,ENTRY 6,Canopy (tops) wt (kg dm/ha),10243.0,17928.0,CIOB2301 WH ROOTS ANATOMY,13,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
163,WW23_G-6,ENTRY 6,Vegetative wt (kg dm/ha),4288.0,10981.0,CIOB2301 WH ROOTS ANATOMY,14,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
173,WW23_G-6,ENTRY 6,Product N (kg/ha),182.8,133.9,CIOB2301 WH ROOTS ANATOMY,24,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
175,WW23_G-6,ENTRY 6,Product N (%),3.1,1.9,CIOB2301 WH ROOTS ANATOMY,26,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
181,WW23_G-7,ENTRY 7,Emergence (DAP),3.0,7.0,CIOB2301 WH ROOTS ANATOMY,2,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
182,WW23_G-7,ENTRY 7,Anthesis (DAP),76.0,101.0,CIOB2301 WH ROOTS ANATOMY,3,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
183,WW23_G-7,ENTRY 7,Maturity (DAP),106.0,142.0,CIOB2301 WH ROOTS ANATOMY,4,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
184,WW23_G-7,ENTRY 7,Product wt (kg dm/ha;no loss),5940.0,6650.0,CIOB2301 WH ROOTS ANATOMY,5,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
185,WW23_G-7,ENTRY 7,Product unit weight (g dm),0.039,0.041,CIOB2301 WH ROOTS ANATOMY,6,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
186,WW23_G-7,ENTRY 7,Product number (no/m2),15286.0,16031.0,CIOB2301 WH ROOTS ANATOMY,7,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
188,WW23_G-7,ENTRY 7,Product harvest index (ratio),0.58,0.41,CIOB2301 WH ROOTS ANATOMY,9,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
189,WW23_G-7,ENTRY 7,Maximum leaf area index,3.8,6.7,CIOB2301 WH ROOTS ANATOMY,10,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
192,WW23_G-7,ENTRY 7,Canopy (tops) wt (kg dm/ha),10184.0,16066.0,CIOB2301 WH ROOTS ANATOMY,13,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
193,WW23_G-7,ENTRY 7,Vegetative wt (kg dm/ha),4244.0,9416.0,CIOB2301 WH ROOTS ANATOMY,14,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
203,WW23_G-7,ENTRY 7,Product N (kg/ha),181.4,123.9,CIOB2301 WH ROOTS ANATOMY,24,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
205,WW23_G-7,ENTRY 7,Product N (%),3.1,1.9,CIOB2301 WH ROOTS ANATOMY,26,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
211,WW23_G-8,ENTRY 8,Emergence (DAP),3.0,7.0,CIOB2301 WH ROOTS ANATOMY,2,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
212,WW23_G-8,ENTRY 8,Anthesis (DAP),76.0,104.0,CIOB2301 WH ROOTS ANATOMY,3,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
213,WW23_G-8,ENTRY 8,Maturity (DAP),106.0,146.0,CIOB2301 WH ROOTS ANATOMY,4,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
214,WW23_G-8,ENTRY 8,Product wt (kg dm/ha;no loss),6133.0,6393.0,CIOB2301 WH ROOTS ANATOMY,5,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
215,WW23_G-8,ENTRY 8,Product unit weight (g dm),0.043,0.041,CIOB2301 WH ROOTS ANATOMY,6,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
216,WW23_G-8,ENTRY 8,Product number (no/m2),14135.0,15446.0,CIOB2301 WH ROOTS ANATOMY,7,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
218,WW23_G-8,ENTRY 8,Product harvest index (ratio),0.59,0.31,CIOB2301 WH ROOTS ANATOMY,9,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
219,WW23_G-8,ENTRY 8,Maximum leaf area index,3.9,5.7,CIOB2301 WH ROOTS ANATOMY,10,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
222,WW23_G-8,ENTRY 8,Canopy (tops) wt (kg dm/ha),10332.0,20909.0,CIOB2301 WH ROOTS ANATOMY,13,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
